image_path,true_class,pred_class,confidence
data/apple_disease_classification/Test/Scab_Apple/AnyConv.com__download (10).jpg,Scab_Apple,Scab_Apple,0.999760
data/apple_disease_classification/Test/Scab_Apple/AnyConv.com__images (3).jpg,Scab_Apple,Scab_Apple,0.999567
data/apple_disease_classification/Test/Blotch_Apple/133.jpg,Blotch_Apple,Blotch_Apple,0.999563
data/apple_disease_classification/Test/Rot_Apple/ey1xed.jpg,Rot_Apple,Rot_Apple,0.999551
data/apple_disease_classification/Test/Rot_Apple/jhy6ea.jpg,Rot_Apple,Rot_Apple,0.999498
data/apple_disease_classification/Test/Rot_Apple/e3afrg.jpg,Rot_Apple,Rot_Apple,0.999453
data/apple_disease_classification/Test/Rot_Apple/rotting-apples-decay-food-waste-260nw-1762452767.jpg,Rot_Apple,Rot_Apple,0.999444
data/apple_disease_classification/Test/Rot_Apple/2ckghhj.jpg,Rot_Apple,Rot_Apple,0.999421
data/apple_disease_classification/Test/Rot_Apple/2f40jff.jpg,Rot_Apple,Rot_Apple,0.999413
data/apple_disease_classification/Test/Scab_Apple/ad3gfw.jpg,Scab_Apple,Scab_Apple,0.999398
